,id,Actual,Nearest Neighbors,Support Vector Classifier (RBF),Logistic Regression,Ridge Regression,Random Forest,Decision Tree with Boosting,Decision Tree with Bagging,Multi Layer Perceptron,Gradient Boosting Classifier,LASSO,Linear Regression,Robust Regression
88,US5328803A,0,0,0,0,0,0,0,0,0,0,0,0,0
89,US9280912B2,0,0,0,0,0,0,0,0,0,0,0,0,0
90,US7600461B1,0,0,0,0,0,0,0,0,0,0,0,0,0
91,US6905173B2,0,0,0,0,0,0,0,0,0,0,0,0,0
92,US4859738A,0,0,0,0,0,0,0,0,0,0,0,0,0
93,US4496059A,0,0,0,0,0,0,0,0,0,0,0,0,0
94,US5377919A,0,0,0,0,0,0,0,0,0,0,0,0,0
95,US9556786B2,0,0,0,0,0,0,0,0,0,0,0,0,0
96,US9428879B2,0,0,0,0,0,0,0,0,0,0,0,0,0
97,US8443958B2,0,0,0,0,0,0,0,0,0,0,0,0,0
98,US9688922B2,0,0,0,0,0,0,0,0,0,0,0,0,0
99,US9180749B2,0,0,0,0,0,0,0,0,0,0,0,0,0
100,US7137154B2,0,0,0,0,0,0,0,0,0,0,0,0,0
101,US10002886B2,0,0,0,0,0,0,0,0,0,0,0,0,0
102,US9963311B1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,US7715013B2,0,1,1,1,1,0,1,0,0,1,1,1,1
104,US9381093B1,0,0,0,0,0,0,0,0,0,0,0,0,0
105,US9327266B2,0,0,0,0,0,0,0,0,0,0,0,0,0
106,US10136786B2,0,0,0,0,0,0,0,0,0,0,0,0,0
107,US5722275A,0,0,0,0,0,0,0,0,0,0,0,0,0
108,US7961454B2,0,0,0,0,0,0,0,0,0,0,0,0,0
109,US8288895B2,0,0,0,0,0,0,0,0,0,0,0,0,0
110,US10008297B2,0,0,0,0,0,0,0,0,0,0,0,0,0
111,US10094416B2,0,0,0,0,0,0,0,0,0,0,0,0,0
112,US9133036B2,0,0,0,0,0,0,0,0,0,0,0,0,0
113,US9416245B2,0,0,0,0,0,0,0,0,0,0,0,0,0
114,US9482246B2,0,0,0,0,0,0,0,0,0,0,0,0,0
115,US7445918B2,0,0,0,0,0,0,1,0,0,0,0,0,0
116,US9637141B2,0,0,0,0,0,0,0,0,0,0,0,0,0
117,US9308184B2,0,0,0,0,0,0,0,0,0,0,0,0,0
118,US9732906B2,0,0,0,0,0,0,0,0,0,0,0,0,0
119,US10046894B1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,US9534461B2,0,0,0,0,0,0,0,0,0,0,0,0,0
121,US10111377B2,0,0,0,0,0,0,0,0,0,0,0,0,0
122,US7748171B2,0,0,0,0,0,0,0,0,0,0,0,0,0
123,US9624951B2,0,0,0,0,0,0,0,0,0,0,0,0,0
124,US9758720B2,0,0,0,0,0,0,0,0,0,0,0,0,0
125,US9172178B2,0,0,0,0,0,0,0,0,0,0,0,0,0
126,US9145667B1,0,0,0,0,0,0,0,0,0,0,0,0,0
127,US4512710A,0,0,0,0,0,0,0,0,0,0,0,0,0
128,US4689516A,0,0,0,0,0,0,0,0,0,0,0,0,0
129,US9838110B2,0,0,0,0,0,0,0,0,0,0,0,0,0
130,US9453572B2,0,0,0,0,0,0,0,0,0,0,0,0,0
131,US10032390B2,0,0,0,0,0,0,0,0,0,0,0,0,0
132,US9018285B2,0,0,0,0,0,0,0,0,0,0,0,0,0
133,US7541516B2,0,0,0,0,0,0,0,0,0,0,0,0,0
134,US9964369B2,0,0,0,0,0,0,0,0,0,0,0,0,0
135,US8945148B2,0,0,0,0,0,0,0,0,0,0,0,0,0
136,US7540393B2,0,0,0,0,0,0,0,0,0,0,0,0,0
137,US7102227B2,0,0,0,0,0,0,0,0,0,0,0,0,0
138,US5567746A,0,0,0,0,0,0,0,0,0,0,0,0,0
139,US9753768B2,0,0,0,0,0,0,0,0,0,0,0,0,0
140,US9394617B2,0,0,0,0,0,0,0,0,0,0,0,0,0
141,US9707173B2,0,0,0,0,0,0,0,0,0,0,0,0,0
142,US4993810A,0,0,0,0,0,0,0,0,0,0,0,0,0
143,US9085229B2,0,0,0,0,0,0,0,0,0,0,0,0,0
144,US10134502B2,0,0,0,0,0,0,0,0,0,0,0,0,0
145,US5406877A,0,0,0,0,0,0,0,0,0,0,0,0,0
146,US9347545B2,0,0,0,0,0,0,0,0,0,0,0,0,0
147,US10122231B2,0,0,0,0,0,0,0,0,0,0,0,0,0
148,US7385963B1,0,0,0,0,0,0,0,0,0,0,0,0,0
149,US9610873B2,0,0,0,0,0,0,0,0,0,0,0,0,0
150,US6162628A,0,0,0,0,0,0,0,0,0,0,0,0,0
151,US6527949B1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,US4594719A,0,0,0,0,0,0,0,0,0,0,0,0,0
153,US7208380B2,0,0,0,0,0,0,0,0,0,0,0,0,0
154,US9349106B2,1,1,1,1,1,0,0,1,1,1,1,1,1
155,US10023627B2,0,0,0,0,0,0,0,0,0,0,0,0,0
156,US8523873B2,0,0,0,0,0,0,0,0,0,0,0,0,0
157,US9981249B2,0,0,0,0,0,0,0,0,0,0,0,0,0
158,US9572239B2,0,0,0,0,0,0,0,0,0,0,0,0,0
159,US8805316B2,0,0,0,0,0,0,0,0,0,0,0,0,0
160,US10086512B2,0,0,0,0,0,0,0,0,0,0,0,0,0
161,US9402364B2,0,0,0,0,0,0,0,0,0,0,0,0,0
162,US9346614B2,0,0,0,0,0,0,0,0,0,0,0,0,0
163,US10030216B2,0,0,0,0,0,0,0,0,0,0,0,0,0
164,US9272805B2,0,1,0,0,0,0,0,0,0,0,0,0,0
165,US9375801B2,0,0,0,0,0,0,0,0,0,0,0,0,0
166,US9644364B2,0,0,0,0,0,0,0,0,0,0,0,0,0
167,US4647491A,0,0,0,0,0,0,0,0,0,0,0,0,0
168,US9759213B2,1,0,1,1,1,0,0,0,1,0,1,1,1
169,US9925041B2,0,0,0,0,0,0,0,0,0,0,0,0,0
170,US8757026B2,0,0,0,0,0,0,0,0,0,0,0,0,0
171,US9916713B1,0,1,0,0,0,0,0,0,0,0,0,0,0
172,US8844363B2,0,0,0,0,0,0,0,0,0,0,0,0,0
173,US6526046B1,0,0,0,0,0,0,0,0,0,0,0,0,0
174,US8932865B2,0,0,0,0,0,0,0,0,0,0,0,1,1
175,US8444631B2,0,0,0,0,0,0,0,0,0,0,0,0,0
176,US10018431B2,0,0,0,0,0,0,0,0,0,0,0,0,0
177,US9082590B2,0,0,0,0,0,0,0,0,0,0,0,0,0
178,US6595357B2,0,0,0,0,0,0,0,0,0,0,0,0,0
179,US9885255B2,0,0,0,0,0,0,0,0,0,0,0,0,0
180,US6702933B2,0,0,0,0,0,0,0,0,0,0,0,0,0
181,US7008839B2,0,0,0,0,0,0,0,0,0,0,0,0,0
182,US8586961B2,0,0,0,0,0,0,0,0,0,0,0,0,0
183,US5618757A,0,0,0,0,0,0,0,0,0,0,0,0,0
184,US9545051B2,0,0,0,0,0,0,0,0,0,0,0,0,0
185,US5955200A,0,0,0,0,0,0,0,0,0,0,0,0,0
186,US4998639A,0,0,0,0,0,0,0,0,0,0,0,0,0
187,US7419360B2,0,0,0,0,0,0,0,0,0,0,0,0,0
188,US7364295B2,0,0,0,0,0,0,0,0,0,0,0,0,0
189,US10071831B1,0,0,0,0,0,0,0,0,0,0,0,0,0
190,US9159549B2,0,0,0,0,0,0,0,0,0,0,0,0,0
191,US8259626B2,0,0,0,0,0,0,0,0,0,0,0,0,0
192,US4640213A,0,0,0,0,0,0,0,0,0,0,0,0,0
193,US4768047A,0,0,0,0,0,0,0,0,0,0,0,0,0
194,US8801480B2,0,0,0,0,0,0,0,0,0,0,0,0,0
195,US4494892A,0,0,0,0,0,0,0,0,0,0,0,0,0
196,US8911522B2,0,0,0,0,0,0,0,0,0,0,0,0,0
197,US4963416A,0,0,0,0,0,0,0,0,0,0,0,0,0
198,US6108580A,0,0,0,0,0,0,0,0,0,0,0,0,0
199,US9775737B2,0,0,0,0,0,0,0,0,0,0,0,0,0
200,US7371841B2,0,0,0,0,0,0,0,0,0,0,0,0,0
201,US9786755B2,0,0,0,0,0,0,0,0,0,0,0,0,0
202,US9644851B2,0,0,0,0,0,0,0,0,0,0,0,0,0
203,US9069693B2,0,0,0,1,1,0,0,0,0,0,1,1,1
204,US8955951B2,0,0,0,0,0,0,0,0,0,0,0,0,0
205,US9289855B2,0,0,0,0,0,0,0,0,0,0,0,0,0
206,US9151768B2,0,0,0,0,1,0,0,0,0,0,1,1,1
207,US10124774B2,0,0,0,0,0,0,0,0,0,0,0,0,0
208,US8097140B2,0,0,0,0,0,0,0,0,0,0,0,0,0
209,US9863367B2,0,0,0,0,0,0,0,0,0,0,0,0,0
210,US9217339B2,0,0,0,0,0,0,0,0,0,0,0,0,0
211,US9272008B2,0,0,0,0,0,0,0,0,0,0,0,0,0
212,US9236784B2,0,0,0,0,0,0,0,0,0,0,0,0,0
213,US9990020B2,0,1,0,0,0,0,1,0,0,0,0,0,0
214,US9565763B2,0,0,0,0,0,0,0,0,0,0,0,0,0
215,US9252584B2,0,0,0,0,0,0,0,0,0,0,0,0,0
216,US9272718B2,0,0,0,0,0,0,0,0,0,0,0,0,0
217,US6383915B1,0,0,0,0,0,0,0,0,0,0,0,0,0
218,US10086223B2,0,0,0,0,0,0,0,0,0,0,0,1,0
219,US5485165A,0,0,0,0,0,0,0,0,0,0,0,0,0
220,US9896471B2,0,0,0,0,0,0,0,0,0,0,0,0,0
221,US8140012B1,0,0,0,0,0,0,0,0,0,0,0,0,0
222,US8157584B2,0,0,0,0,0,0,0,0,0,0,0,0,0
223,US9745611B2,0,1,0,1,1,0,0,0,0,0,1,0,0
224,US5909298A,0,0,0,0,0,0,0,0,0,0,0,0,0
225,US4908650A,0,0,0,0,0,0,0,0,0,0,0,0,0
226,US8728671B1,0,0,0,0,0,0,0,0,0,0,0,0,0
227,US9464154B2,0,0,0,0,0,0,0,0,0,0,0,0,0
228,US7784985B2,0,0,0,0,0,0,0,0,0,0,0,0,0
229,US8502904B2,0,0,1,1,0,0,1,1,0,1,0,0,0
230,US5299117A,0,1,0,0,0,0,0,0,0,0,0,0,0
231,US10132214B2,0,0,0,0,0,0,0,0,0,0,0,0,0
232,US9180047B2,0,0,0,0,0,0,0,0,0,0,0,0,0
233,US10065308B2,0,0,0,0,0,0,0,0,0,0,0,0,0
234,US7477198B2,0,0,0,0,0,0,0,0,0,0,0,0,0
235,US10099456B2,0,0,0,0,0,0,0,0,0,0,0,0,0
236,US9078467B2,0,0,0,0,0,0,0,0,0,0,0,0,0
237,US8218481B2,0,1,1,1,1,0,0,0,0,0,1,0,1
238,US9300179B2,0,0,0,0,0,0,0,0,0,0,0,0,0
239,US10077828B2,0,0,0,0,0,0,0,0,0,0,0,0,0
240,US9810081B2,0,0,0,0,0,0,0,0,0,0,0,0,0
241,US9226987B2,0,0,0,0,0,0,0,0,0,0,0,0,0
242,US9027548B2,0,0,0,0,0,0,0,0,0,0,0,0,0
243,US5041958A,0,0,0,0,0,0,0,0,0,0,0,0,0
244,US6350599B1,0,0,0,0,0,0,0,0,0,0,0,0,0
245,US9222776B2,0,0,0,0,0,0,0,0,0,0,0,0,0
246,US9574906B2,0,0,0,0,0,0,0,0,0,0,0,0,0
247,US9770358B2,0,0,0,0,0,0,0,0,0,0,0,0,0
248,US7762613B2,0,0,0,0,0,0,0,0,0,0,0,0,0
249,US9184021B2,0,0,0,0,0,0,0,0,0,0,0,0,0
250,US9693660B1,0,0,0,0,0,0,0,0,0,0,0,0,0
251,US9993127B2,0,0,0,0,0,0,0,0,0,0,0,0,0
252,US6966205B2,0,0,0,0,0,0,0,0,0,0,0,0,0
253,US7802636B2,0,0,0,0,0,0,0,0,0,0,0,0,0
254,US9796205B2,0,0,0,0,0,0,0,0,0,0,0,0,0
255,US9991536B2,0,0,0,0,0,0,0,0,0,0,0,0,0
256,US9186166B2,0,0,0,0,0,0,0,0,0,0,0,0,0
257,US9520567B2,0,0,0,0,0,0,0,0,0,0,0,0,0
258,US10004739B2,0,0,0,0,0,0,0,0,0,0,0,0,0
259,US4772452A,0,0,0,0,0,0,0,0,0,0,0,0,0
260,US9483607B2,0,0,0,0,0,0,1,1,0,0,0,0,0
261,US9923021B2,0,0,0,0,0,0,0,0,0,0,0,0,0
262,US9895454B2,0,0,0,0,0,0,0,0,0,0,0,0,0
263,US9656386B2,0,0,0,0,0,0,0,0,0,0,0,0,0
264,US9196199B2,0,1,0,0,0,0,0,0,0,1,0,0,0
265,US9868666B2,0,0,0,0,0,0,0,0,0,0,0,0,0
266,US8956556B2,0,0,0,0,0,0,0,0,0,0,0,0,0
267,US9955675B2,0,0,0,0,0,0,0,0,0,0,0,0,0
268,US9193655B2,0,0,0,0,0,0,0,0,0,0,0,0,0
269,US5622067A,0,0,0,0,0,0,0,0,0,0,0,0,0
270,US7892795B2,0,0,0,0,0,0,0,0,0,0,0,0,0
271,US9245783B2,0,0,0,0,0,0,0,0,0,0,0,0,0
272,US9291082B2,0,0,0,0,0,0,0,0,0,0,0,0,0
273,US9097982B2,0,0,0,0,0,0,0,0,0,0,0,0,0
274,US7711235B2,0,0,0,0,0,0,0,0,0,0,0,0,0
275,US8784098B2,0,0,0,0,0,0,0,0,0,0,0,0,0
276,US7090549B2,0,0,0,0,0,0,0,0,0,0,0,0,0
277,US9115110B2,0,0,0,0,0,0,0,0,0,0,0,0,0
278,US8716909B2,0,0,0,0,0,0,0,0,0,0,0,0,0
279,US5218051A,0,0,0,0,0,0,0,0,0,0,0,0,0
280,US9228579B2,0,0,0,0,0,0,0,0,0,0,0,0,0
281,US9360585B2,0,0,0,0,0,0,0,0,0,0,0,0,0
282,US9810649B2,0,0,0,0,0,0,0,0,0,0,0,0,0
283,US10039177B2,0,0,0,0,0,0,0,0,0,0,0,0,0
284,US7222258B2,1,1,1,1,1,1,1,1,1,1,1,1,1
285,US9971576B2,0,0,0,0,0,0,0,0,0,0,0,0,0
286,US8918527B2,0,0,0,0,0,0,0,0,0,0,0,0,0
287,US10119831B2,0,1,1,1,1,1,1,0,0,1,1,1,1
288,US5373125A,0,0,0,0,0,0,0,0,0,0,0,0,0
289,US9998361B2,0,0,0,0,0,0,0,0,0,0,0,0,0
290,US9810948B2,0,0,0,0,0,0,0,0,0,0,0,0,0
291,US6780603B1,0,0,0,1,0,0,0,0,0,0,0,0,0
292,US6031998A,0,0,0,0,0,0,0,0,0,0,0,0,0
293,US9027151B2,0,0,0,0,0,0,0,0,0,0,0,0,0
294,US9387987B2,0,1,0,0,0,0,0,0,0,0,0,0,0
295,US8290619B2,1,1,1,1,1,1,1,1,1,1,1,1,1
296,US4499473A,0,0,0,0,0,0,1,0,0,0,0,0,0
297,US8346757B1,0,1,1,1,1,0,1,0,1,1,1,1,1
298,US6803916B2,0,1,1,1,0,1,1,0,0,0,0,0,0
299,US9132350B2,1,1,1,1,1,0,1,0,0,1,1,1,1
300,US10078982B2,0,1,0,0,0,0,0,0,0,0,1,1,1
301,US10105911B2,0,0,0,0,0,0,0,0,0,0,0,0,0
302,US9530805B2,0,0,0,0,0,0,0,0,0,0,0,0,0
303,US9897245B2,0,0,0,0,0,0,0,0,0,0,0,0,0
304,US9266440B2,0,0,0,0,0,0,0,0,0,0,0,0,0
305,US9555542B2,0,0,0,0,0,0,0,0,0,0,0,0,0
306,US8554936B2,0,0,0,0,0,0,0,0,0,0,0,0,0
307,US9248976B2,0,0,0,0,0,0,0,0,0,0,0,0,0
308,US8559086B2,0,0,0,0,0,0,0,0,0,0,0,0,0
309,US7711059B2,0,0,0,0,0,0,0,0,0,0,0,0,0
310,US7844364B2,1,1,1,1,1,1,1,1,1,1,1,1,1
311,US8469814B2,0,0,0,0,0,0,0,0,0,0,0,0,0
312,US7458245B1,0,0,0,0,0,0,0,0,0,0,0,0,0
313,US7365788B2,0,0,0,0,0,0,0,0,0,0,0,0,0
314,US9802323B2,0,0,0,0,0,0,0,0,0,0,0,0,0
315,US9034996B2,0,0,0,0,0,0,0,0,0,0,0,0,0
316,US5291279A,0,1,0,0,0,0,1,1,0,0,0,0,0
317,US5905731A,0,0,1,1,1,0,0,0,1,0,1,1,1
318,US9652331B2,0,0,1,1,1,0,0,0,0,0,1,1,1
319,US9861811B2,0,0,0,0,0,0,0,0,0,0,0,0,0
320,US9930950B1,0,0,0,0,0,0,0,0,0,0,0,0,0
321,US9904145B2,0,0,0,0,0,0,0,0,0,0,0,0,0
322,US7184427B1,0,0,0,0,0,0,0,0,0,0,0,0,0
323,US9566193B2,0,0,0,0,0,0,0,0,0,0,0,0,0
324,US9802906B1,0,0,0,0,0,0,0,0,0,0,0,0,0
325,US9605920B2,0,0,0,0,0,0,0,0,0,0,0,0,0
326,US7738783B2,1,0,1,1,0,0,0,0,0,0,0,0,0
327,US10064528B1,0,0,0,0,0,0,0,0,0,0,0,0,0
328,US8924735B2,1,1,1,1,1,1,1,1,1,1,1,1,1
329,US9954875B2,0,0,0,1,1,0,1,0,0,0,1,1,1
330,US8639871B2,0,0,0,0,0,0,0,0,0,0,0,0,0
331,US9091889B2,0,0,0,0,0,0,0,0,0,0,0,0,0
332,US9368101B1,0,1,0,0,0,0,0,0,0,0,0,0,1
333,US10064596B2,0,0,0,0,1,0,0,0,0,0,1,1,1
334,US10137580B1,0,0,0,0,0,0,0,0,0,0,0,0,0
335,US9486671B2,0,0,0,0,0,0,0,0,0,0,0,0,0
336,US7194089B2,0,1,0,0,0,0,1,0,0,1,0,0,0
337,US9272381B2,0,0,0,0,0,0,0,0,0,0,0,0,0
338,US9411240B2,0,0,0,0,0,0,0,0,0,0,0,0,0
339,US6748453B2,0,0,0,0,0,0,0,0,0,0,0,0,0
340,US5196877A,0,0,0,0,0,0,0,0,0,0,0,0,0
341,US7936002B2,0,0,0,0,0,0,0,0,0,0,0,0,0
342,US8984193B1,0,0,0,1,0,0,0,0,0,0,0,0,0
343,US9925936B2,1,1,1,1,1,1,1,1,1,1,1,1,1
344,US4609820A,0,0,0,0,0,0,0,0,0,0,0,0,0
345,US5721973A,0,0,0,0,0,0,0,0,0,0,0,0,0
346,US7939956B1,0,0,0,0,0,0,0,0,0,0,0,0,0
347,US10117734B2,0,0,0,0,0,0,0,0,0,0,0,0,0
348,US8241667B2,0,0,0,0,0,0,0,0,0,0,0,0,0
349,US9278097B2,0,0,0,0,0,0,0,0,0,0,0,0,0
350,US7879402B2,0,0,0,0,0,0,0,0,0,0,0,0,0
351,US7787841B2,0,0,0,0,0,0,0,0,0,0,0,0,0
352,US7946065B2,0,0,0,0,0,0,0,0,0,0,0,0,0
353,US7649563B2,0,1,0,0,0,0,0,0,0,0,0,0,0
354,US5437834A,0,0,0,0,0,0,0,0,0,0,0,0,0
355,US9454909B1,1,1,1,1,1,0,1,0,1,1,1,1,1
356,US9844886B2,0,0,0,0,0,0,0,0,0,0,0,0,0
357,US10004506B2,0,0,0,0,0,0,0,0,0,0,0,0,0
358,US9612342B2,0,1,0,0,0,0,0,0,0,0,0,0,0
359,US4902886A,0,0,0,0,0,0,0,0,0,0,0,0,0
360,US9194965B2,0,0,1,0,0,0,1,0,0,0,0,0,0
361,US9983964B2,0,1,0,0,0,0,0,0,0,0,0,0,0
362,US9378394B2,0,0,0,0,0,0,0,0,0,0,0,0,0
363,US9775180B2,0,0,0,1,0,0,0,0,0,0,0,0,0
364,US10018707B2,0,1,0,0,0,0,0,0,0,0,0,0,1
365,US5432721A,0,1,0,0,0,0,1,0,0,0,0,0,0
366,US9532135B2,0,0,0,0,0,0,0,0,0,0,0,0,0
367,US7308346B2,0,0,0,0,0,0,0,0,0,0,0,0,0
368,US9204690B1,0,0,0,0,0,0,0,0,0,0,0,0,0
369,US9517965B2,0,0,0,0,0,0,0,0,0,0,0,0,0
370,US9849505B2,0,0,0,0,0,0,0,0,0,0,0,0,0
371,US9226407B2,0,0,0,0,0,0,0,0,0,0,0,0,0
372,US9534759B2,0,0,0,0,0,0,0,0,0,0,0,0,0
373,US8645471B2,0,1,0,0,1,0,0,0,0,0,1,1,1
374,US4848688A,0,0,0,0,1,0,0,0,0,0,1,1,1
375,US9697686B2,0,0,0,0,0,0,0,0,0,0,0,0,0
376,US8010143B2,0,0,0,0,0,0,0,0,0,0,0,0,0
377,US9747659B2,0,0,1,0,0,0,0,0,0,1,0,0,1
378,US9269442B2,0,1,0,0,0,0,1,0,0,1,0,0,0
379,US7324451B2,0,1,1,1,1,0,0,0,1,1,1,1,1
380,US7547540B2,0,0,0,0,0,0,0,0,0,0,0,0,0
381,US9022487B2,0,0,0,0,0,0,0,0,0,0,0,0,0
382,US5146099A,1,1,1,1,1,0,0,0,0,1,1,1,1
383,US6778510B1,0,0,0,0,0,0,0,0,0,0,0,0,0
384,US9902233B2,0,0,0,0,0,0,0,0,0,0,0,0,0
385,US5274416A,0,0,0,0,0,0,0,0,0,1,0,0,0
386,US9484375B2,0,1,0,0,0,0,0,0,0,0,0,0,0
387,US4908646A,0,0,0,0,0,0,0,0,0,0,0,0,0
388,US9412516B2,0,0,0,0,0,0,0,0,0,0,0,0,0
389,US9389100B2,0,0,0,0,0,0,0,0,0,0,0,0,0
390,US9039690B2,0,0,0,0,0,0,0,0,0,0,0,0,0
391,US9592096B2,0,0,0,0,0,0,0,0,0,0,0,0,0
392,US9882198B2,0,0,0,0,0,0,0,0,0,0,0,0,0
393,US9591330B2,1,1,1,1,1,1,1,1,1,1,1,0,1
