,id,Actual,No Embeddings,GLOVE (6B - 50),GLOVE (840B - 300),Doc2Vec USPTO Patent Embeddings,FastText
37,US6649698B1,0,[0],[0],[0],[0],[0]
38,US8944700B2,0,[0],[0],[0],[0],[0]
39,US9758255B1,0,[0],[0],[0],[0],[0]
40,US4786534A,0,[0],[0],[0],[0],[0]
41,US8105392B2,0,[0],[0],[0],[0],[0]
42,US8704004B2,0,[0],[0],[0],[0],[0]
43,US9385428B2,0,[0],[0],[0],[0],[0]
44,US5941102A,0,[0],[0],[0],[0],[0]
45,US8708355B1,0,[0],[0],[0],[0],[0]
46,US7963603B2,0,[0],[0],[0],[0],[0]
47,US9360001B2,0,[0],[0],[0],[0],[0]
48,US10081732B2,0,[0],[0],[0],[0],[0]
49,US6328256A,0,[0],[0],[0],[0],[0]
50,US7470380B2,0,[0],[0],[0],[0],[0]
51,US7243515B2,0,[0],[0],[0],[0],[0]
52,US9551388B2,0,[0],[0],[0],[0],[0]
53,US9855487B2,0,[0],[0],[0],[0],[0]
54,US4903062A,0,[0],[0],[0],[0],[0]
55,US5456147A,0,[0],[0],[0],[0],[0]
56,US6874698B1,0,[0],[0],[0],[0],[0]
57,US6364369B2,0,[0],[0],[0],[0],[0]
58,US10059391B2,0,[0],[0],[0],[0],[0]
59,US7331788B2,0,[0],[0],[0],[0],[0]
60,US9003662B2,0,[0],[0],[0],[0],[0]
61,US9237807B1,0,[0],[0],[0],[0],[0]
62,US9519291B2,0,[0],[0],[0],[0],[0]
63,US9757641B2,0,[0],[0],[0],[0],[0]
64,US9527772B2,0,[0],[0],[0],[0],[0]
65,US9227965B2,0,[0],[0],[0],[0],[0]
66,US7445053B2,0,[0],[0],[0],[0],[0]
67,US7081132B2,0,[0],[0],[0],[0],[0]
68,US9200938B2,0,[0],[0],[0],[0],[0]
69,US6815234B2,0,[0],[0],[0],[0],[0]
70,US7800229B2,0,[0],[0],[0],[0],[0]
71,US6381412B1,0,[0],[0],[0],[0],[0]
72,US9342178B2,0,[0],[0],[0],[0],[0]
73,US9876914B2,0,[0],[0],[0],[0],[0]
74,US9702167B2,0,[0],[0],[0],[0],[0]
75,US10046277B2,0,[0],[0],[0],[0],[0]
76,US6408447B1,0,[0],[0],[0],[0],[0]
77,US8763979B2,0,[0],[0],[0],[0],[0]
78,US5597336A,0,[0],[0],[0],[0],[0]
79,US6043079A,0,[0],[0],[0],[0],[0]
80,US4609322A,0,[0],[0],[0],[0],[0]
81,US5875916A,0,[0],[0],[0],[0],[0]
82,US4536542A,0,[0],[0],[0],[0],[0]
83,US8742576B2,0,[0],[0],[0],[0],[0]
84,US5667263A,0,[0],[0],[0],[0],[0]
85,US9353534B2,0,[0],[0],[0],[0],[0]
86,US5968810A,0,[0],[0],[0],[0],[0]
87,US7226551B2,0,[0],[0],[0],[0],[0]
88,US9688922B2,0,[0],[0],[0],[0],[0]
89,US9969707B2,0,[0],[0],[0],[0],[0]
90,US9636393B2,0,[0],[0],[0],[0],[0]
91,US9670779B2,0,[0],[0],[0],[0],[0]
92,US10039508B2,0,[0],[0],[0],[0],[0]
93,US7743870B2,0,[0],[0],[0],[0],[0]
94,US5444186A,0,[0],[0],[0],[0],[0]
95,US10002886B2,0,[0],[0],[0],[0],[0]
96,US8845606B2,0,[0],[0],[0],[0],[0]
97,US9881896B2,0,[0],[0],[0],[0],[0]
98,US7075135B2,0,[0],[0],[0],[0],[0]
99,US10136786B2,0,[0],[0],[0],[0],[0]
100,US9267547B2,0,[0],[0],[0],[0],[0]
101,US10058346B2,0,[0],[0],[0],[0],[0]
102,US8288895B2,0,[0],[0],[0],[0],[0]
103,US10008297B2,0,[0],[0],[0],[0],[0]
104,US7208853B2,0,[0],[0],[0],[0],[0]
105,US8969970B2,0,[0],[0],[0],[0],[0]
106,US9882296B1,0,[0],[0],[0],[0],[0]
107,US9446955B2,0,[0],[0],[0],[0],[0]
108,US10004136B2,0,[0],[0],[0],[0],[0]
109,US6380305B1,0,[0],[0],[0],[0],[0]
110,US4908422A,0,[0],[0],[0],[0],[0]
111,US5683138A,0,[0],[0],[0],[0],[0]
112,US7748171B2,0,[0],[0],[0],[0],[0]
113,US9556589B2,0,[0],[0],[0],[0],[0]
114,US9021966B2,0,[0],[0],[0],[0],[0]
115,US9976557B2,0,[0],[0],[0],[0],[0]
116,US9297539B2,0,[0],[0],[0],[0],[0]
117,US9838110B2,0,[0],[0],[0],[0],[0]
118,US8945148B2,0,[0],[0],[0],[0],[0]
119,US7102227B2,0,[0],[0],[0],[0],[0]
120,US9570609B2,0,[0],[0],[0],[0],[0]
121,US5567746A,0,[0],[0],[0],[0],[0]
122,US9753768B2,0,[0],[0],[0],[0],[0]
123,US9155808B2,0,[0],[0],[0],[0],[0]
124,US9857002B2,0,[0],[0],[0],[0],[0]
125,US4993810A,0,[0],[0],[0],[0],[0]
126,US8837763B1,0,[0],[0],[0],[0],[0]
127,US9788848B2,0,[0],[0],[0],[0],[0]
128,US4599436A,0,[0],[0],[0],[0],[0]
129,US5544909A,0,[0],[0],[0],[0],[0]
130,US8036367B2,0,[0],[0],[0],[0],[0]
131,US7739809B2,0,[0],[0],[0],[0],[0]
132,US7816609B2,0,[0],[0],[0],[0],[0]
133,US10100026B2,0,[0],[0],[0],[0],[0]
134,US5027958A,0,[0],[0],[0],[0],[0]
135,US7208380B2,0,[0],[0],[0],[0],[0]
136,US9581092B2,0,[0],[0],[0],[0],[0]
137,US9497295B2,0,[0],[0],[0],[0],[0]
138,US6060718A,0,[0],[0],[0],[0],[0]
139,US9117430B2,0,[0],[0],[0],[0],[0]
140,US9572239B2,0,[0],[0],[0],[0],[0]
141,US9739917B2,0,[0],[0],[0],[0],[0]
142,US8494030B2,0,[0],[0],[0],[0],[0]
143,US9563192B2,0,[0],[0],[0],[0],[1]
144,US9026322B2,0,[0],[0],[0],[0],[0]
145,US9188502B2,0,[0],[0],[0],[0],[0]
146,US9106002B2,0,[0],[0],[0],[0],[0]
147,US7311430B2,0,[0],[0],[0],[0],[0]
148,US8076650B2,0,[0],[0],[0],[0],[0]
149,US9759213B2,1,[1],[1],[1],[1],[0]
150,US8768863B2,1,[1],[1],[1],[1],[1]
151,US5611101A,0,[0],[0],[0],[0],[0]
152,US9916713B1,0,[1],[0],[0],[0],[0]
153,US6526046B1,0,[0],[0],[0],[0],[0]
154,US9833474B2,0,[0],[0],[0],[0],[0]
155,US4771975A,0,[0],[0],[0],[0],[0]
156,US8025972B2,0,[0],[0],[0],[0],[0]
157,US4561666A,0,[0],[0],[0],[0],[0]
158,US5450115A,0,[0],[0],[0],[0],[0]
159,US6702933B2,0,[0],[0],[0],[0],[0]
160,US7008839B2,0,[0],[0],[0],[0],[0]
161,US8903232B1,0,[0],[0],[0],[0],[0]
162,US9371994B2,0,[0],[0],[0],[0],[0]
163,US4954107A,0,[0],[0],[0],[0],[0]
164,US5899569A,0,[0],[0],[0],[0],[0]
165,US6603131B2,0,[0],[0],[0],[0],[0]
166,US10071831B1,0,[0],[0],[0],[0],[0]
167,US9169699B2,0,[0],[0],[0],[0],[0]
168,US9306146B2,0,[0],[0],[0],[0],[0]
169,US9159549B2,0,[0],[0],[0],[0],[0]
170,US8650732B2,0,[0],[0],[0],[0],[0]
171,US4768047A,0,[0],[0],[0],[0],[0]
172,US8801480B2,0,[0],[0],[0],[0],[0]
173,US9775737B2,0,[0],[0],[0],[0],[0]
174,US10092337B2,0,[0],[0],[0],[0],[0]
175,US9069693B2,0,[0],[0],[0],[0],[0]
176,US9631691B2,0,[0],[0],[0],[0],[0]
177,US9496196B2,0,[0],[0],[0],[0],[0]
178,US9267817B2,0,[0],[0],[0],[0],[0]
179,US6735014B2,0,[0],[0],[0],[0],[0]
180,US8993373B2,0,[0],[0],[0],[0],[0]
181,US9322342B2,0,[0],[0],[0],[0],[0]
182,US9034418B2,0,[0],[0],[0],[0],[0]
183,US9863367B2,0,[0],[0],[0],[0],[0]
184,US9236784B2,0,[0],[0],[0],[0],[0]
185,US8963159B2,0,[0],[0],[0],[0],[0]
186,US9860979B2,0,[0],[0],[0],[0],[0]
187,US6215835A,0,[0],[0],[0],[0],[0]
188,US9896471B2,0,[0],[0],[0],[0],[0]
189,US7696110B2,0,[0],[0],[0],[0],[0]
190,US9336774B1,1,[1],[1],[1],[1],[1]
191,US10103122B2,0,[0],[0],[0],[0],[0]
192,US9480236B2,0,[0],[0],[0],[0],[0]
193,US5184446A,0,[0],[0],[0],[0],[0]
194,US9464154B2,0,[0],[0],[0],[0],[0]
195,US4771543A,0,[0],[0],[0],[0],[0]
196,US9818517B2,0,[0],[0],[0],[0],[0]
197,US5139073A,0,[0],[0],[0],[0],[0]
198,US4771627A,0,[0],[0],[0],[0],[0]
199,US5543956A,0,[0],[0],[0],[0],[0]
200,US10127739B2,0,[0],[0],[0],[0],[0]
201,US9234549B2,0,[0],[0],[0],[0],[0]
202,US10042460B2,0,[0],[0],[0],[0],[0]
203,US9526553B2,0,[0],[0],[0],[0],[0]
204,US7871967B2,0,[0],[0],[0],[0],[0]
205,US10043846B2,0,[0],[0],[0],[0],[0]
206,US10127904B2,1,[1],[1],[1],[1],[1]
207,US9704097B2,1,[1],[1],[1],[1],[1]
208,US8975455B2,0,[0],[0],[0],[0],[0]
209,US9485908B2,0,[0],[0],[0],[0],[0]
210,US10067302B2,0,[0],[0],[0],[0],[0]
211,US9588359B2,0,[0],[0],[0],[0],[0]
212,US9485847B1,0,[0],[0],[0],[0],[0]
213,US9273485B2,0,[0],[0],[0],[0],[0]
214,US9774389B2,0,[0],[0],[0],[0],[0]
215,US9155937B2,0,[0],[0],[0],[0],[0]
216,US9810081B2,0,[0],[0],[0],[0],[0]
217,US9425246B2,0,[0],[0],[0],[0],[0]
218,US6350599B1,0,[0],[0],[0],[0],[0]
219,US7562475B2,0,[0],[0],[0],[0],[0]
220,US9729031B2,0,[0],[0],[0],[0],[0]
221,US9493454B2,0,[0],[0],[0],[0],[0]
222,US9194038B2,0,[0],[0],[0],[0],[0]
223,US8284544B2,0,[0],[0],[0],[0],[0]
224,US9222776B2,0,[0],[0],[0],[0],[0]
225,US9011483B2,0,[0],[0],[0],[0],[0]
226,US5609220A,0,[0],[0],[0],[0],[0]
227,US7704846B2,0,[0],[0],[0],[0],[0]
228,US4703406A,0,[0],[0],[0],[0],[0]
229,US9237925B2,0,[0],[0],[0],[0],[0]
230,US9114509B2,0,[0],[0],[0],[0],[0]
231,US9115303B2,0,[0],[0],[0],[0],[0]
232,US9743274B2,0,[0],[0],[0],[0],[0]
233,US6966205B2,0,[0],[0],[0],[0],[0]
234,US9846319B2,0,[0],[0],[0],[0],[0]
235,US6830478B1,0,[0],[0],[0],[0],[0]
236,US9796205B2,0,[0],[0],[0],[0],[0]
237,US8982247B2,0,[1],[0],[0],[0],[0]
238,US9299734B2,0,[0],[0],[0],[0],[0]
239,US9347621B2,0,[0],[0],[0],[0],[0]
240,US7759547B2,0,[0],[0],[0],[0],[0]
241,US9923021B2,0,[0],[0],[0],[0],[0]
242,US8997315B2,0,[0],[0],[0],[0],[0]
243,US10139268B2,0,[0],[0],[0],[0],[0]
244,US8956556B2,0,[0],[0],[0],[0],[0]
245,US9951420B2,0,[0],[0],[0],[0],[0]
246,US9274770B2,0,[1],[0],[0],[0],[0]
247,US9239117B1,0,[0],[0],[0],[0],[0]
248,US8304482B2,0,[0],[0],[0],[0],[0]
249,US9010259B2,0,[0],[1],[1],[0],[0]
250,US6393745B1,0,[0],[0],[0],[0],[0]
251,US9150762B2,0,[0],[0],[0],[0],[0]
252,US9755813B2,0,[0],[0],[0],[0],[0]
253,US9834146B2,0,[0],[0],[0],[0],[0]
254,US9522221B2,0,[0],[0],[0],[0],[0]
255,US9519238B2,0,[0],[0],[0],[0],[0]
256,US9212154B2,0,[0],[0],[0],[0],[0]
257,US9733120B2,0,[0],[0],[0],[0],[0]
258,US9971526B1,0,[0],[0],[0],[0],[0]
259,US9081507B2,0,[0],[0],[0],[0],[0]
260,US7980378B2,0,[1],[0],[0],[0],[0]
261,US9097982B2,0,[0],[0],[0],[0],[0]
262,US8520096B2,1,[1],[1],[1],[1],[1]
263,US6340794B1,0,[0],[0],[0],[0],[0]
264,US7711235B2,0,[0],[0],[0],[0],[0]
265,US9132810B2,0,[0],[0],[0],[0],[0]
266,US7090549B2,0,[0],[0],[0],[0],[0]
267,US9115110B2,0,[0],[0],[0],[0],[0]
268,US5924277A,0,[0],[0],[0],[0],[0]
269,US9360585B2,0,[1],[0],[0],[0],[0]
270,US7738480B2,0,[0],[0],[0],[0],[0]
271,US10064775B2,0,[0],[0],[0],[0],[0]
272,US8571474B2,0,[0],[0],[0],[0],[0]
273,US7222258B2,1,[0],[0],[0],[0],[0]
274,US9036667B2,0,[0],[0],[0],[0],[0]
275,US7245583B1,0,[0],[0],[0],[0],[0]
276,US10029363B2,0,[0],[0],[0],[0],[0]
277,US9329908B2,1,[1],[1],[1],[0],[0]
278,US6404763B1,0,[0],[0],[0],[0],[0]
279,US7259691B2,0,[0],[0],[0],[0],[0]
280,US7017766B2,0,[0],[0],[0],[0],[0]
281,US9998361B2,0,[0],[0],[0],[0],[0]
282,US9396414B2,1,[1],[1],[1],[1],[1]
283,US9786595B1,0,[0],[0],[0],[0],[0]
284,US4733263A,0,[0],[0],[0],[0],[0]
285,US9468412B2,1,[1],[1],[1],[1],[1]
286,US10004562B2,0,[0],[0],[0],[0],[0]
287,US9247811B2,0,[0],[0],[0],[0],[0]
288,US6780603B1,0,[0],[0],[0],[0],[0]
289,US5436679A,0,[0],[0],[0],[0],[0]
290,US6578604B1,0,[0],[0],[0],[0],[0]
291,US10138231B2,0,[1],[0],[0],[0],[0]
292,US9171247B1,1,[1],[1],[1],[1],[1]
293,US10114107B2,0,[0],[0],[0],[0],[0]
294,US8290619B2,1,[1],[1],[0],[1],[1]
295,US6233502A,0,[0],[0],[0],[0],[0]
296,US8967439B2,0,[0],[0],[0],[0],[0]
297,US9892329B2,1,[1],[1],[1],[1],[1]
298,US8346757B1,0,[1],[1],[0],[1],[1]
299,US7325879B2,0,[0],[0],[0],[0],[0]
300,US5470937A,0,[0],[0],[0],[0],[0]
301,US7992847B2,0,[0],[0],[0],[0],[0]
302,US6523416B2,0,[0],[0],[0],[0],[0]
303,US9384886B2,0,[0],[0],[0],[0],[0]
304,US9241602B2,0,[0],[0],[0],[0],[0]
305,US9444734B2,0,[0],[0],[0],[0],[0]
306,US9266440B2,0,[0],[0],[0],[0],[0]
307,US5917897A,0,[0],[0],[0],[0],[0]
308,US8307443B2,0,[0],[0],[0],[0],[0]
309,US10092850B1,0,[0],[0],[0],[0],[0]
310,US8867786B2,1,[1],[1],[1],[1],[1]
311,US10132717B2,0,[0],[0],[0],[0],[0]
312,US9086669B2,0,[0],[0],[0],[0],[0]
313,US8686328B2,0,[0],[0],[0],[0],[0]
314,US10053667B2,0,[1],[1],[0],[1],[1]
315,US8091953B2,0,[0],[0],[0],[0],[0]
316,US7844364B2,1,[1],[1],[0],[1],[1]
317,US9909129B2,0,[0],[0],[0],[0],[0]
318,US9802323B2,0,[0],[0],[0],[0],[0]
319,US7500329B2,0,[0],[0],[0],[0],[0]
320,US5905731A,0,[0],[0],[0],[0],[0]
321,US9088408B2,0,[1],[0],[1],[0],[0]
322,US10078949B2,0,[1],[0],[1],[0],[0]
323,US9091809B2,0,[0],[0],[0],[0],[0]
324,US9229934B2,0,[0],[0],[0],[0],[0]
325,US9575131B2,0,[0],[0],[0],[0],[0]
326,US10087853B2,0,[0],[0],[0],[0],[0]
327,US9940574B1,1,[1],[1],[1],[1],[1]
328,US8950244B2,0,[0],[0],[0],[0],[0]
329,US9644301B2,0,[0],[0],[0],[0],[0]
330,US9384943B2,0,[0],[0],[0],[0],[0]
331,US7738783B2,1,[0],[0],[0],[0],[0]
332,US9944192B2,0,[0],[0],[0],[0],[0]
333,US8576008B2,0,[0],[0],[0],[0],[0]
334,US5367351A,0,[0],[0],[0],[0],[0]
335,US7194089B2,0,[0],[0],[0],[0],[0]
336,US7805342B2,0,[1],[0],[0],[0],[0]
337,US9976416B2,0,[0],[0],[1],[0],[0]
338,US7571816B2,0,[0],[0],[0],[0],[0]
339,US9142151B2,0,[1],[0],[0],[0],[0]
340,US9092937B2,0,[0],[0],[0],[0],[0]
341,US9519573B2,0,[0],[0],[0],[0],[0]
342,US6748453B2,0,[0],[0],[0],[0],[0]
343,US9959189B2,0,[0],[0],[0],[0],[0]
344,US8169623B2,0,[0],[0],[0],[0],[0]
345,US9455195B2,0,[0],[0],[0],[0],[0]
346,US8984193B1,0,[0],[0],[0],[0],[0]
347,US9599179B2,0,[0],[0],[0],[0],[0]
348,US9556090B2,0,[0],[0],[0],[0],[0]
349,US8891467B2,0,[0],[0],[0],[0],[0]
350,US6711314B1,0,[0],[0],[0],[0],[0]
351,US9372280B2,0,[0],[0],[0],[0],[0]
352,US5721973A,0,[0],[0],[0],[0],[0]
353,US10065703B2,0,[0],[0],[0],[0],[0]
354,US9747555B2,1,[1],[1],[1],[1],[1]
355,US9557057B2,0,[0],[0],[0],[0],[0]
356,US5029551A,0,[0],[0],[0],[0],[0]
357,US6628643B1,0,[0],[0],[0],[0],[0]
358,US7879402B2,0,[0],[0],[0],[0],[0]
359,US7787841B2,0,[0],[0],[0],[0],[0]
360,US7946065B2,0,[0],[0],[0],[0],[0]
361,US4719643A,0,[1],[1],[1],[1],[0]
362,US5437834A,0,[0],[0],[0],[0],[0]
363,US6736702B2,0,[0],[0],[0],[0],[0]
364,US5313200A,0,[1],[0],[0],[1],[1]
365,US9741018B2,1,[1],[1],[1],[1],[1]
366,US10017990B2,0,[0],[0],[0],[0],[0]
367,US9846948B2,1,[1],[1],[1],[1],[1]
368,US9013220B2,0,[0],[0],[0],[0],[1]
369,US10018707B2,0,[0],[0],[0],[0],[0]
370,US9994426B1,0,[0],[0],[0],[0],[0]
371,US7308346B2,0,[0],[0],[0],[0],[0]
372,US9517965B2,0,[0],[0],[0],[0],[0]
373,US9849505B2,0,[0],[0],[0],[0],[0]
374,US8961376B2,0,[0],[0],[0],[0],[0]
375,US9452735B2,0,[0],[0],[0],[0],[0]
376,US10133147B2,0,[0],[0],[0],[0],[0]
377,US7593559B2,0,[1],[0],[1],[0],[1]
378,US8908562B2,0,[0],[0],[0],[1],[0]
379,US9934055B2,1,[0],[0],[0],[0],[0]
380,US9350735B1,0,[0],[0],[0],[1],[0]
381,US9747659B2,0,[0],[0],[0],[0],[0]
382,US8457012B2,0,[0],[0],[0],[0],[0]
383,US8998555B1,0,[0],[0],[0],[0],[0]
384,US9568444B2,0,[0],[0],[0],[0],[0]
385,US7778412B2,0,[0],[0],[0],[0],[0]
386,US6683540B1,0,[0],[1],[1],[0],[1]
387,US7547540B2,0,[0],[0],[0],[0],[0]
388,US7615746B2,1,[1],[1],[1],[1],[0]
389,US8838526B2,0,[0],[0],[0],[0],[0]
390,US8964942B2,0,[0],[0],[0],[0],[0]
391,US10117893B2,0,[0],[0],[0],[0],[0]
392,US5185164A,0,[0],[0],[0],[0],[0]
393,US5274416A,0,[0],[0],[0],[0],[0]
394,US10025651B2,0,[0],[0],[0],[1],[0]
395,US8839275B1,0,[0],[0],[0],[0],[0]
396,US7945398B2,0,[0],[0],[0],[0],[1]
397,US9278818B2,0,[0],[0],[0],[0],[0]
398,US9424024B2,0,[0],[0],[0],[0],[0]
399,US9244827B2,0,[0],[0],[0],[0],[0]
400,US8958916B2,0,[0],[0],[0],[0],[0]
401,US9014199B2,0,[0],[0],[0],[0],[0]
402,US9605617B2,0,[0],[0],[0],[0],[0]
403,US9646295B1,0,[0],[0],[0],[0],[0]
404,US9514503B2,0,[1],[1],[0],[0],[0]
405,US9305178B2,0,[0],[1],[0],[0],[0]
406,US9885314B2,0,[0],[0],[0],[0],[0]
407,US9353617B2,0,[0],[0],[0],[0],[0]
408,US6910195B2,0,[0],[0],[0],[0],[0]
409,US4795882A,0,[0],[0],[0],[0],[0]
410,US10060359B2,0,[0],[0],[0],[0],[0]
411,US9206537B2,0,[0],[0],[0],[0],[0]
412,US9391422B2,0,[0],[0],[0],[0],[0]
413,US9760958B2,0,[0],[0],[0],[0],[0]
414,US6554094B1,0,[0],[0],[0],[0],[0]
415,US5652646A,0,[0],[0],[0],[0],[0]
416,US7912627B2,1,[1],[1],[1],[1],[1]
417,US4981404A,0,[0],[0],[0],[0],[0]
418,US8943007B2,1,[1],[1],[1],[1],[1]
419,US9087236B2,1,[1],[1],[1],[1],[1]
420,US7190981B2,0,[0],[0],[0],[0],[0]
421,US9055212B2,1,[1],[1],[1],[1],[1]
422,US5305051A,0,[0],[0],[0],[0],[0]
423,US7184782B1,0,[0],[0],[0],[0],[0]
424,US6654553B2,0,[0],[0],[1],[0],[0]
425,US4781424A,0,[0],[0],[0],[0],[0]
426,US5121911A,0,[0],[0],[0],[0],[0]
427,US8973590B2,0,[0],[0],[0],[0],[0]
428,US8489319B2,0,[0],[0],[0],[0],[0]
429,US10032462B2,1,[0],[1],[1],[1],[1]
430,US10133987B2,1,[1],[1],[1],[1],[1]
431,US10083053B2,0,[0],[0],[0],[0],[0]
432,US6684125B2,0,[1],[0],[1],[0],[0]
433,US5106615A,0,[0],[0],[0],[0],[0]
434,US9342066B2,0,[0],[0],[0],[0],[0]
435,US8107016B2,0,[0],[0],[0],[0],[0]
436,US9179159B2,0,[0],[0],[0],[0],[0]
437,US9291397B2,0,[0],[0],[0],[0],[0]
438,US9352441B2,0,[0],[0],[0],[0],[0]
439,US9900506B2,0,[0],[0],[0],[0],[0]
440,US4688666A,0,[0],[0],[0],[0],[0]
441,US9628419B2,1,[1],[1],[1],[1],[1]
442,US9992551B1,0,[0],[0],[0],[0],[0]
443,US9587313B2,0,[0],[0],[0],[0],[0]
444,US10045898B2,0,[0],[0],[0],[0],[0]
445,US7567752B2,0,[0],[0],[0],[0],[0]
446,US9310462B2,0,[0],[0],[0],[0],[0]
447,US7382542B2,0,[0],[0],[0],[0],[0]
448,US9455795B2,0,[0],[0],[0],[0],[0]
449,US7516386B2,0,[0],[0],[0],[0],[0]
450,US6648192B1,0,[0],[0],[0],[0],[0]
451,US6947075B1,0,[0],[0],[0],[0],[0]
452,US8978421B2,0,[0],[0],[0],[0],[0]
453,US9648843B2,0,[0],[0],[0],[0],[0]
454,US9195094B2,0,[0],[0],[0],[0],[0]
455,US8950762B2,0,[0],[0],[0],[0],[0]
456,US5769844A,0,[0],[0],[0],[0],[0]
457,US9848965B2,0,[0],[0],[0],[1],[0]
458,US9568595B2,1,[1],[1],[1],[1],[1]
459,US8990132B2,1,[1],[1],[1],[1],[1]
460,US8942070B1,0,[0],[0],[0],[0],[0]
461,US10070763B2,0,[0],[0],[0],[0],[0]
462,US7411623B2,0,[0],[0],[0],[0],[0]
463,US9058517B1,1,[1],[1],[1],[1],[1]
464,US8738285B2,1,[1],[1],[1],[1],[1]
465,US9826929B2,1,[1],[1],[1],[1],[1]
466,US9031571B2,0,[0],[0],[0],[0],[0]
467,US10025299B2,1,[0],[0],[1],[0],[1]
468,US9672360B2,0,[0],[0],[0],[0],[0]
469,US9268953B2,0,[0],[0],[0],[0],[0]
470,US9594492B1,0,[0],[0],[0],[0],[0]
471,US9486969B2,0,[0],[0],[0],[0],[0]
472,US8966151B2,0,[0],[0],[0],[0],[0]
473,US7683959B2,0,[0],[0],[0],[0],[0]
474,US9830376B2,1,[1],[1],[1],[1],[1]
475,US9681113B2,0,[1],[0],[0],[0],[0]
476,US9584566B2,0,[1],[0],[1],[0],[0]
477,US8968748B2,0,[0],[0],[0],[0],[0]
478,US5359642A,0,[0],[0],[0],[0],[0]
479,US7878653B2,0,[0],[0],[0],[0],[0]
480,US5184561A,0,[0],[0],[0],[0],[0]
481,US6404985B1,0,[0],[0],[0],[0],[0]
482,US9666068B2,0,[0],[0],[0],[0],[0]
483,US8565376B2,0,[0],[0],[0],[0],[0]
484,US9268533B2,0,[0],[0],[0],[0],[0]
485,US5742590A,0,[0],[0],[0],[0],[0]
486,US10089353B2,0,[1],[0],[0],[1],[1]
487,US9794866B2,0,[0],[0],[0],[0],[0]
488,US9430578B2,0,[0],[0],[0],[0],[0]
489,US10076845B2,0,[1],[0],[0],[0],[1]
490,US8626288B2,0,[0],[0],[0],[0],[0]
491,US9086025B2,0,[0],[0],[0],[0],[0]
492,US9253407B2,0,[0],[0],[0],[0],[0]
493,US10070321B2,0,[0],[0],[0],[0],[0]
494,US6553269B1,1,[1],[1],[1],[1],[1]
495,US9559954B2,0,[1],[1],[0],[0],[1]
496,US9423290B2,0,[0],[0],[0],[0],[0]
497,US9948537B2,0,[0],[0],[0],[0],[0]
498,US9104577B2,1,[1],[1],[1],[1],[1]
499,US9317775B2,1,[1],[1],[1],[1],[1]
500,US9905086B1,0,[0],[0],[0],[0],[0]
501,US9928215B1,0,[1],[0],[1],[0],[0]
502,US10031917B2,0,[0],[0],[0],[0],[0]
503,US9055304B2,0,[0],[0],[0],[0],[0]
504,US9638108B2,0,[0],[0],[0],[0],[0]
505,US6507703B1,0,[0],[0],[0],[0],[0]
506,US9042616B2,1,[1],[1],[1],[1],[1]
507,US5224099A,0,[0],[0],[0],[0],[0]
508,US9346167B2,1,[1],[1],[1],[1],[1]
509,US9571826B1,0,[0],[0],[0],[0],[0]
510,US8907954B2,0,[0],[0],[0],[0],[0]
511,US9082140B2,1,[1],[1],[1],[1],[1]
512,US6826444B2,0,[0],[0],[0],[0],[0]
513,US8952616B2,1,[1],[1],[1],[1],[1]
514,US9940729B1,1,[1],[1],[1],[1],[1]
515,US9558314B2,0,[0],[0],[0],[0],[0]
