,app number,actual,abstract,ipc c,application year
21,US10105730B2,0,Robotic cartridge dispenser and method a system for applying sealant material from a cartridge includes a cartridge fixture storing a plurality of cartridges each cartridge including unique identification information and containing sealant material a cartridge robot for removing a selected one of the cartridges from the fixture and a dispense robot for receiving the selected cartridge from the cartridge robot and applying the sealant material contained therein to a workpiece a controller is connected to the cartridge robot and the dispense robot for operating the robots and a plurality of sensors are connected to the controller for generating the unique identification information for the selected cartridge sealant usage per workpiece sealant dispense pressure sealant dispense temperature and sealant usage from the selected cartridge,B0,2014
22,US9080016B2,0,Isocyanate free method for preparing poly carbonate urethane or poly ester urethane the present invention discloses a method for preparing poly carbonate urethane or poly ester urethane without isocyanate,C0,2011
23,US10088073B1,0,Limit switch for rising stem gate valves a limit switch for a rising stem type valve which has a spring loaded actuator arm with a bracket on one end which wraps around the valve stem a follower or roller on the end of the bracket opposite the actuator arm rides on the rising stem of the valve held in contact with the stem by the spring when the stem has risen to a preselected position usually the position in which the valve is fully open the follower or roller engages a circumferential groove formed around the stem this causes the spring to bias the actuator arm to move a tab at the opposite end of the actuator arm and the tab operates a limit switch,F1,2017
24,US9022134B2,0,Fire resistant rescue blanket a fire resistant rescue blanket sized to underlay and wrap around a victim for protecting the victim from fire related injuries the fire resistant rescue blanket includes layers of a flame resistant material for protecting against fire injuries a heat reflective fabric for protecting against environmental heat conditions and a protective fabric for protecting against fallen debris the heat reflective fabric is arranged along an inner surface of the flame resistant material and contacts the victim when the victim is wrapped in the fire resistant rescue blanket the protective fabric is arranged on the opposing outer surface covering at least underneath the area where the victim is laying to protect the wrapped victim against debris such as during a dragging operation the fire resistant rescue blanket includes a plurality of loop handles for allowing rescue personnel to carry the victim if necessary a drag strap may also be attached to the fire resistant rescue blanket for facilitating a dragging operation,B3 A6,2011
25,US9831482B2,0,Battery module lid system and method a system includes a lid disposed over battery cells in a battery module the lid includes flexible fingers and each of the flexible fingers aligns with a corresponding one of the battery cells each of the flexible fingers is configured to exert a downward force against the corresponding one of the battery cells and the flexible fingers are configured to accommodate varying heights of the battery cells,H0 B6 G0,2014
26,US9163824B2,0,Lamp heat sink a lamp heat sink includes a plurality of heat dissipating fins disposed around a body and extending away from the body the lamp heat sink further comprises a heat dissipating circumferent skirt surrounding the body and disposed between the plurality of heat dissipating fins the lamp heat sink further comprises a plurality of channels disposed around the body formed by the plurality of heat dissipating fins and the heat dissipating circumferent skirt the plurality of channels each include an intake opening configured to receive cold air and an exhaust opening configured to release warm air,F2,2013
27,US6560126B1,0,Telecommunications protector panel for high frequency transmission a protector panel for telecommunication wires has a plurality of rows of sockets each of the sockets has two pairs of receptacles for receiving pins of a plug in excess voltage protector module rows of pins protrude from the back of the panel each of the pins registering with one of the receptacles so as to provide two pairs of pins for each socket pattern a pair of outside plant wires extends from one of the pairs of pins of each socket pattern similarly a pair of customer premises wires extends from the other of the pairs of each socket pattern the pairs of wires are twisted substantially along their entire length the amount of twist of at least some of the pairs of the outside plant wires within each row differs from the amount of twist of at least some of the other pairs of outside plant wires similarly the amount of twist of the customer premises wires also differs from others in the same row further the twisted pairs that are adjacent each other but in different rows will have different pitches the differences in the amounts of twist of the pairs of wires enable the protector panel to handle high frequency transmissions while minimizing cross talk,H0,1999
28,US9549616B2,0,Accessory holder an accessory holder that includes an arcuate holding element having a mounting arm that is operatively attached to mounting foot where the mounting foot can be disposed onto a lawn or beach chair having woven strips of material under which the mounting foot can be inserted to temporarily retain the accessory holder such that the accessory holder can be used for storage of items such as drinks jewelry and other loose items while a person is resting upon the lawn or beach chair,B6 F1 A4,2015
29,US9591808B2,0,Gardening shears capable of switching cutting modes a gardening shears includes a first blade a driving arm pivoted to the first blade a second blade pivoted to the first blade and a link arm pivotally connected between the driving arm and the second blade the bottom portion of the second blade has a sliding groove and positioning recesses a switching device installed inside the driving arm is locatable at a first usage position where an end of the link arm is stationarily engaged with a positioning recess next to the top end of the sliding groove for enabling a direct cutting mode for cutting a small sized branch and a second usage position where the end of the link arm is slidable in the sliding groove and selectively engageable with one of the positioning recesses for enabling a stepwise cutting mode for stepwise cutting off a large sized branch by changing the force applying fulcrum,A0,2014
30,US7708473B2,0,Optical transceiver with frame ground and signal ground isolated with parallel plate capacitor a technique is disclosed for an optical transceiver where the frame ground is electrically isolated from the signal ground in a low frequency region and is conducted in a high frequency region without applying a capacitor as a substantial circuit component the transceiver includes a tosa whose housing is grounded with the fg and connected with the driver with a fpc board on the fpc board is formed with a parallel plate capacitor one conductive pattern on the one surface is connected with the housing of the tosa while the other pattern in the opposite surface is connected with the sg this parallel plate capacitor isolates the fg from the sg in low frequencies while conducts the fg with the sg in high frequencies,G0,2008
31,US9034972B2,0,Bleed resistant oil extended olefin block copolymer composition with precipitated silica disclosed are oil extended olefin block copolymer compositions with precipitated silica the precipitated silica reduces oil bleed while maintaining composition softness,C0,2011
32,US9532849B2,0,Surgical accessory clamp and system a robotic surgical system for performing a procedure within a sterile field comprises a manipulator arm and a surgical accessory clamp for coupling a surgical accessory to a distal end portion of the manipulator arm the accessory clamp includes a base for coupling with the distal end portion of the manipulator arm two clamp jaws with each of the clamp jaws directly and rotatably coupled to the base by respective pivot pins and a lever operable to move the two clamp jaws between an open position and closed position the system also includes a sterile drape covering the accessory clamp and the manipulator arm to shield the accessory clamp and the manipulator arm from the sterile field,A6 F1,2012
33,US9883739B1,0,Work table with a rotatable component tray a work table for use in assembling legos craft items etc the work table includes a horizontally disposed and circular table top a ring shaped component tray rotatably extends around the table top the tray includes spaced apart compartments which are configured to receive various lego components or craft items,A4 A6,2017
34,US9044242B2,0,Bipolar forceps a bipolar forceps may include a first forceps arm having a first forceps arm aperture a first forceps jaw and a first forceps arm conductor tip a second forceps arm having a second forceps arm aperture a second forceps jaw and a second forceps arm conductor tip and an input conductor isolation mechanism having a first forceps arm housing and a second forceps arm housing the first forceps arm may be disposed in the first forceps arm housing and the second forceps arm may be disposed in the second forceps arm housing an application of a force to a lateral portion of the forceps arms may be configured to close the forceps jaws a reduction of a force applied to a lateral portion of the forceps arms may be configured to open the forceps jaws,A6,2013
35,US10086944B2,0,Reversible upholstery dress cover a reversible upholstery dress cover article includes a fabric web an obverse finish layer covering an obverse face of the web a reverse finish layer covering a reverse face of the web a relatively flexible tape attached around an edge of the web and a relatively stiff ribbon attached in the tape the tape spaces the ribbon apart from the edge of the web and the tape can be folded to bring the ribbon against either the obverse finish layer or the reverse finish layer without folding the web the tape is folded around the ribbon in a first fold so that the ribbon extends along a midline of the tape then each edge of the tape is folded back in a second fold to form flaps that extend beyond the first fold with the ribbon protruding from the folded tape,A4 B6,2016
36,US8942550B1,0,Variable speed heat air gun and cooperating kit a kit for supporting and multi directionally aiming a heat source the kit includes a heat air gun a tripod and an extension arm the tripod and or the extension arm support s the heat air gun so as to allow the heat air gun to be supported while having multi directional aiming,F2 B6,2012
37,US9791320B2,0,Mounting system and method for night vision tubes a mounting system for night vision tubes includes a multi part sleeve that opens in the manner of a clamshell to receive the tube the sleeve includes a longitudinal seam or a partial longitudinal seam and opens around compliant hinge regions the night vision tube engages a ramp section of the sleeve urging the sleeve to open and then abuts against a front shoulder causing the sleeve to clamp shut around the night vision tube the tube is constrained between the front shoulder and a retaining shoulder an indexing pin engages the night vision tube and the sleeve to maintain mutual rotational alignment the sleeve and the tube are inserted into a housing of a night vision system,G0 H0 F4,2016
38,US5576596A,0,Optical devices such as flat panel cathode ray tube having raised black matrix an optical device contains first and second plates and a pattern of ridges situated over the first plate light emissive regions situated in spaces between the ridges electron emissive elements situated over the second plate and supporting structure that maintains a desired spacing between the plates the electron emissive elements emit electrons that strike the light emissive regions causing them to produce light of various colors the ridges which extend further away from the first plate than the light emissive regions are substantially non emissive of light when hit by electrons each ridge includes a dark region formed with metal ceramic semiconductor or and carbide the ridges thereby form a raised black matrix that improves contrast and color purity,H0,1995
39,US5293181A,0,Image recording apparatus an image recording apparatus comprises an aperture electrode for modulating and regulating a flow of charged toner particles and a vibrating device for vibrating the aperture electrode the vibration generated by the vibrating device is a progressive wave transmitted in the aperture electrode since all of the apertures of the aperture electrode efficiently vibrate at a sufficient amplitude adhesion of the toner particles to the aperture electrode is easily prevented,B4,1991
40,US8284566B2,0,Electronic substrate the electronic substrate includes a substrate having a first face on which an active element is formed and a second face on an opposite side to the first face and on which a passive element is formed and an insulating layer including insulating resin and provided on the substrate wherein the passive element is formed on the insulating layer and further comprising an interconnection pattern arranged on or above the second face of the substrate wherein the passive element is configured from one part of the interconnection pattern and a resin layer provided on the second face of the substrate wherein at least one part of the passive element is formed on the resin layer,H0,2010
41,US9205449B1,0,Heating method and heating apparatus a method of manufacturing an elongated medical body coated with a fluororesin involves applying the fluororesin to the outer surface of an elongated body having a metallic substrate and heating the elongated body with the fluororesin applied through operation of a heat source while cutting off direct radiation of infrared rays generated from the heat source,B0,2009
42,US9419486B2,0,Housing less transverse flux electrical machine a housingless transverse flux electrical machine tfem includes a pair of halves adapted to receive therein a plurality of cores and a coil therein the halves are the exterior boundary for the environment and the tfem can be in operating configuration without further housing,H0,2013
43,US9424816B2,0,Electric stringed instrument having a pivotable body an electric stringed instrument includes an instrument main body which includes a front surface including a structure configured to hold a string and a pair of frames which are connected to the instrument body at least one of the pair of frames is a movable frame rotating toward the other one of the pair of frames with a longitudinal direction of the instrument main body serving as a rotating axis while going around a rear surface side of the instrumental body,G1,2013
44,US8978270B1,0,Method for drying interstitial space a method for drying or removing water from a wall cavity or structure without the need to tear to make holes tear apart the structure or use suction cups the method uses a reversible portable moisture removal system for flowing pressurized heated air at a targeted location and for creating a vacuum to withdraw moist air from the wall cavity or structure a the moisture removal housing the method dries wet walls in less time than current systems while also being reversible to remove moist air from wall cavities and structures,F2 E0,2014
45,US9789802B2,0,High capacity hydraulic truck loading system the present invention is a system for high capacity hydraulic truck loading the system includes a frame to which a hydraulic cylinder is pivotably at a first cylinder pivot the hydraulic cylinder when actuated applies a force to an l shaped primary arm at a second cylinder pivot this force cause the primary arm to pivot around various pivot points in a linkage assembly made up of the frame a u shaped secondary arm and a plurality of stabilizer arms the respective positions of the connecting pivots and linkages allow the primary arm to raise or lower an item for loading without contacting a truck tailgate or bumper,B6,2014
46,US10065724B2,0,Arrangement for sealing a propeller shaft of a marine vessel and a method of controlling the operation thereof an arrangement for sealing a propeller shaft of a marine vessel are specifically applicable in preventing oil leakage via propeller shaft sealing in cases where the draught of a marine vessel is for some reason reduced beyond its ordinary value,B6 F1,2012
47,US9907993B2,0,Elastomeric hand grips disclosed is a tubular elastomeric grip with raised or embossed geometric designs arrayed around its circumference with an axial cut along its length adapted to be removably attached to a cylindrical bar such as those used while participating in fitness activities associated with the gripping of a bar or handle,A6,2015
48,US9850724B2,0,Downhole tools and methods of controlling downhole tools a downhole tool that has a plurality of arm assemblies each of the arm assemblies has an arm configured to expand and retract and an actuator a hydraulic bus in fluid communication with the plurality of arm assemblies a plurality of flow control devices the flow control devices are configured to selectively isolate one or more arm assemblies of the plurality of arm assemblies from the hydraulic bus while maintaining the other arm assemblies of the plurality of arm assemblies in communication with the hydraulic bus,E2,2015
49,US8997402B2,0,Door device capable of switching statuses and storage equipment using the same the disclosure discloses a door device including a panel a pivoting arm module and a door the pivoting arm module includes a holder and a panel pivoting arm the holder is located in a doorway of the panel and fixed to the panel the holder has an entrance and an accommodating trough the panel pivoting arm is slidably accommodated in the accommodating trough and can present a received status or an ejected status relative to the holder the door is pivotally connected to the panel pivoting arm when the panel pivoting arm presents the received status the door abuts against the panel and closes the doorway and the appearance surface of the door is flush with that of the panel when the panel pivoting arm presents the ejected status the door leaves the panel and can rotate relative to the panel pivoting arm to open the doorway,E0 A4,2013
50,US9651291B2,0,Twisting mechanism for separating ice blocks from the ice making tray disclosed are an ice maker and a refrigerator including the ice maker an exemplary ice making tray of the ice maker or refrigerator includes an ice separating protrusion that extends outwardly from one surface the refrigerator includes ice separating levers connected by hinges to the tray housing with the ice making tray therebetween and at least one of which has a groove that rotates an ice separating protrusion of the ice making tray together while rotating around the hinges and includes a handle that is longer than the ice making tray in front of the ice making tray,F2,2014
51,US9977411B2,1,Motor control apparatus with magnetic flux controller and machine learning apparatus and method therefor a machine learning apparatus that learns a condition associated with a gain of a magnetic flux controller and a time constant of a magnetic flux estimator in a motor control apparatus includes a state observation unit that observes a state variable defined by at least one of data relating to an acceleration of a motor data relating to a jerk of the motor and data relating to an acceleration time of the motor and a learning unit that learns the condition associated with the gain of the magnetic flux controller and the time constant of the magnetic flux estimator in accordance with a training data set defined by the state variable,H0 G0,2016
52,US9440355B2,0,Mobile robot disclosed is a mobile robot including a main body and a pattern irradiation unit emitting a cross shaped optical pattern including a horizontal line optical pattern and a vertical line optical pattern intersecting the horizontal line optical pattern the pattern irradiation unit includes a light source and a lens converting light emitted from the light source into the cross shaped optical pattern the lens includes convex cells on an incidence surface upon which the emitted light is incident the incidence surface is divided into a first area converting the light emitted from the light source into the horizontal line optical pattern and a second area converting the light emitted from the light source into the vertical line optical pattern vertical convex cells extended in parallel in the vertical direction are formed in the first area and horizontal convex cells extended in parallel in the horizontal direction are formed in the second area,G0 H0 B2,2014
53,US8835365B2,0,Lubricating oil composition for rolling with round die provided is a lubricating oil composition for round die rolling which is obtained by blending a base oil with a to mass of a monoester having to carbon atoms a and or to mass of a fatty dicarboxylate having to carbon atoms a b to mass of a thiadiazole compound c to mass of a thiophosphite and d to mass of a triazole compound the lubricating oil composition for round die rolling shows excellent processing performance without using any chlorine based compound and is able to improve lubricity in a bearing to lengthen the life of the bearing,C1,2009
54,US9272360B2,0,Universal plasma extension gun universal plasma spray extension gun systems and devices for thermal spraying of machine components are disclosed in one embodiment a plasma gun extension system includes a plasma extension arm an arm connector disposed on the plasma extension arm and configured to connect to an adjustable plasma spray gun apparatus an arm coupler disposed on the plasma extension arm and configured to connect the plasma extension arm to a robotic arm and a set of feed conduits disposed on the plasma extension arm between the arm coupler and the arm connector the set of feed conduits configured to supply a flow to the adjustable plasma spray gun apparatus,B0 H0 B2,2013
55,US9214704B2,0,Thermal decoupling of battery cells in the case of a malfunction a battery module having a plurality of battery cells positioned adjacent to one another and electrically connected to one another between which the thermal resistance between adjacent battery cells may be increased in the case of a malfunction of the battery module and or of individual battery cells in order to prevent overheating of adjacent cells in addition a method for thermally decoupling battery cells in the case of a malfunction is described,H0,2011
56,US9468195B2,0,Convertible leash and harness system and method a restraining apparatus for an animal including a combination of a leash and a harness to be used in conjunction with a collar the restraining apparatus includes a ring defining an opening a coupling element for fastening to a collar on the animal is mounted to the ring a substantially rigid arm is mounted to the ring and extends to a free distal end spaced from the ring with the arm forming a substantially elongated opening with the ring a leash may be attached to the ring when the restraining apparatus is applied to the animal as a harness the coupling element is fastened to the collar and the leash is wrapped around the torso of the animal engages the arm at the elongated opening and may freely slide and tighten around the torso of the animal,A0,2012
57,US7764046B2,0,Power storage device and semiconductor device provided with the power storage device an object is to provide a power storage device provided with a battery that is a power storage means for safe and accurate supply of electric power in a short period of time for drive power supply voltage without checking remaining capacity of the battery or changing batteries with deterioration over time of the battery for drive power supply voltage the power storage device is provided with a battery that is a power storage means as a power supply for supplying electric power and a counter circuit for counting charging time of the power storage means an electromagnetic wave with electric field intensity magnetic field intensity and power flux density per unit time which are transmitted from a power feeder are controlled and the power storage means is efficiently charged using the electromagnetic wave in a short period of time,H0 G0,2007
58,US9523929B2,0,Electrophotographic photosensitive member process cartridge and electrophotographic apparatus in an electrophotographic photosensitive member a first intermediate layer contains a polymerized product of a composition including an electron transporting substance having a polymerizable functional group and a crosslinking agent and a second intermediate layer contains a binder resin and a metal oxide particle,G0,2014
59,US10092923B2,0,Automatic production system this system has an articulated robot having an arm and a base portion which rotatably supports the arm and a rotation positioner to which the base portion of the articulated robot is mounted a turn axis of the base portion of the articulated robot is orthogonal to a rotation axis of the rotation positioner thus interference of a workpiece with the arm can be avoided and flexibility of works performed by the robot can be expanded,B2 B0,2015
60,US9034210B2,0,Feedstock and method for preparing the feedstock a feedstock for injection molding includes a ceramic filler that is sinterable to produce a ceramic with a positive temperature coefficient of electrical resistance a matrix for binding the ceramic filler the matrix having a melting point lower than a melting point of the ceramic filler and metallic impurities a content of the metallic impurities in the feedstock is lower than ppm,H0 B2 C0,2007
61,US9456488B2,0,Circuit module and method of producing circuit module there is provided a circuit module including a circuit substrate having a mount surface a mount component mounted on the mount surface a sealing body formed on the mount surface the sealing body covering the mount component and having a trench formed from a main surface of the sealing body to the mount surface and a shield having an inner shield section formed within the trench and an outer shield section that covers the sealing body and the inner shield section the outer shield section including a first section having a flat surface formed on the main surface of the shielding body and a second section formed on the inner shield section and protruded or sagged from the first section,H0,2013
62,US9268174B2,0,Rubbing device and rubbing method the present invention relates to a rubbing device and a rubbing method the rubbing device includes a substrate carrier an aligning roller having a surface that is rubbing fabric a driving mechanism that drives the substrate carrier and the substrate that is to be subjected to alignment treatment carried thereby to undergo a translational movement and an elevation arm the lower surface of the aligning roller is made suitable to contact and rub the upper surface of the substrate that is to be subjected to alignment treatment and side edges of the upper surface of the substrate that is to be subjected to alignment treatment are made suitable to scrape the lower surface of the aligning roller the substrate carrier is provided in a top thereof with channels corresponding to two opposite side edges of the substrate that is to be subjected to alignment treatment in the translational movement direction the channels are arranged to be suitable to have the two side edges of the substrate that is to be subjected to alignment treatment respectively suspending in the channels the present invention also provides a rubbing method the rubbing device and the rubbing method of the present invention use a substrate that is to be subjected to alignment treatment to scrape pi chips from the aligning roller into channels so as to prevent the pi chips from moving with the aligning roller to spread over an aa zone of the substrate that is to be subjected to alignment treatment thereby improving the defects of bright spots and mura generated in a rubbing process,B2 G0,2013
63,US9913041B2,0,Voice coil motor and loudspeaker controller a voice coil motor controller configured to determine a voltage across and a current through a voice coil motor having an input signal supplied thereto and determine its impedance therefrom the controller further configured to identify asymmetry in variations of said impedance over time to determine an asymmetry value the controller further configured to provide for control of said voice coil motor using said asymmetry value,H0,2015
64,US9833932B1,0,Layered structures systems and methods provide for forming layered structures textured tapes may be fabricated having cast and or embossed patterns that provide for desired flow characteristics in an assembly of stacked rolled and or otherwise assembled tapes in some cases shear thinning materials may be formed into textured tapes using localized shear stress to induce shear thinning during a pattern formation a pattern may be maintained after removal of the shear force due to the high viscosity of the material at low shear stress,B2,2011
65,US4746040A,0,Trouser hanger hanger for trousers comprising a a tensioning member having two tensioning arms which move apart and have carrying pieces on the ends and b a u shaped or virtually u shaped attachment having two limbs both parts are intended to grip onto the waistband of a pair of trousers and in such a way that the attachment grips with the limbs onto the waistband at the point of the front folds thereof while the tensioning member grips on the one side with its carrying pieces onto the waistband via the limbs of the attachment thereby clamping free parts of the waistband and on the other side grips directly onto the waistband at the point of the rear fold therein the dimensions of carrying pieces and attachment are adapted to each other such that at least after being fitted on a pair of trousers a carrying piece cannot pass between the limbs of the attachment,A4,1986
66,US10020452B2,0,Compound containing a 5 membered heterocycle and organic light emitting diode using same and terminal for same disclosed are a novel structural compound including a membered heterocycle an organic electronic device using the same and a terminal thereof,H0 C0,2014
67,US9702906B2,0,Non permanent termination structure for microprobe measurements a structure and method of facilitating testing of an electronic device device under test or dut using a non permanent and reusable structure to terminate contact pads and contact pin holes on a surface of the dut,G0,2015
